peripheral	gd32_pad
GD32_SWDIO	PA13
GD32_SWCLK	PA14
GD32_SPI.SCLK	PA9
GD32_SPI.MOSI	PB15
GD32_SPI.MISO	PA10
GD32_SPI.CS0	PA8
BRD_I2C.SDA	PB9
BRD_I2C.SCL	PA15
E1M I2C3.SCL	PC8
E1M I2C3.SDA	PC9
E1M ENC0_X	PA0
E1M ENC0_Y	PB3
E1M ENC1_X	PC6
E1M ENC1_Y	PC7
E1M ENC2_X	PB6
E1M ENC2_Y	PB7
E1M ENC3_X	PB2
E1M ENC3_Y	PA1
E1M PWM0	PA11
E1M PWM1	PB1
E1M PWM2	PB14
E1M PWM3	PC5
E1M PWM4	PC10
E1M PWM5	PC11
E1M PWM6	PC12
E1M PWM7	PD0
E1M ADC0	PD9
E1M ADC1	PB12
E1M ADC2	PE13
E1M ADC3	PE11
E1M ADC4	PC4
E1M ADC5	PA5
E1M ADC6	PA2
E1M ADC7	PA3
E1M DAC0	PA4
E1M DAC1	PA6
E1M CAN_STBY	PB13
CAM_EN_LDO0	PC3
CAM_EN_LDO1	PE8
CAM_EN_LDO2	PE7
CAM_EN_LDO3	PE10
BT_REG_ON	PE14
WL_REG_ON	PE15
SE_RST	PC13
E1M IO8	PB10
E1M IO9	PA7
E1M IO10	PA12
E1M IO11	PB0
E1M IO12	PC1
E1M IO13	PF1
E1M IO14	PB5
E1M IO16	PC0
E1M IO24	PC14
E1M IO25	PC15
E1M IO27	PB11
E1M IO28	PC2
E1M IO29	PD11
E1M IO30	PD10
E1M IO31	PE12
E1M IO32	PD2
E1M IO34	PD8
E1M IO35	PD1
